attendance,away_final_score,away_team,date,elapsed_time,g_id,home_final_score,home_team,start_time,umpire_HP,venue_name,weather,wind,delay_min
36008,2,kca,7/28/2016,146,201601518,3,tex,7:40 PM,Jerry Meals,Globe Life Park in Arlington,"83 degrees, cloudy","8 mph, In from CF",35
22785,7,phi,7/28/2016,205,201601519,5,atl,7:10 PM,Larry Vanover,Turner Field,"85 degrees, cloudy","15 mph, R to L",0
25060,5,sln,7/28/2016,148,201601520,4,mia,7:10 PM,Vic Carapazza,Marlins Park,"78 degrees, roof closed","0 mph, None",0
42001,4,was,7/28/2016,208,201601521,2,sfn,7:16 PM,James Hoye,AT&T Park,"58 degrees, partly cloudy","13 mph, Out to CF",0
50966,7,ari,7/29/2016,204,201601522,9,lan,7:11 PM,Brian Knight,Dodger Stadium,"80 degrees, clear","7 mph, Out to RF",0
46112,5,bal,7/29/2016,165,201601523,6,tor,7:08 PM,Manny Gonzalez,Rogers Centre,"76 degrees, clear","2 mph, R to L",0
39113,6,bos,7/29/2016,150,201601524,2,ana,7:09 PM,Mark Ripperger,Angel Stadium of Anaheim,"81 degrees, clear","7 mph, R to L",0
23983,1,cha,7/29/2016,222,201601525,2,min,7:12 PM,Gary Cederstrom,Target Field,"75 degrees, clear","7 mph, In from LF",0
33509,6,cin,7/29/2016,177,201601526,0,sdn,7:41 PM,Dana DeMuth,Petco Park,"74 degrees, clear","9 mph, L to R",0
40035,6,col,7/29/2016,187,201601527,1,nyn,7:11 PM,Chris Guccione,Citi Field,"82 degrees, clear","8 mph, In from RF",0
31771,6,hou,7/29/2016,185,201601528,14,det,7:11 PM,Dan Bellino,Comerica Park,"77 degrees, overcast","3 mph, In from CF",0
40008,3,kca,7/29/2016,170,201601529,8,tex,7:06 PM,Ron Kulpa,Globe Life Park in Arlington,"92 degrees, clear","8 mph, R to L",0
17856,1,nya,7/29/2016,178,201601530,5,tba,7:10 PM,Laz Diaz,Tropicana Field,"72 degrees, dome","0 mph, None",0
33134,3,oak,7/29/2016,179,201601531,5,cle,7:10 PM,Scott Barry,Progressive Field,"80 degrees, cloudy","16 mph, In from RF",0
27732,1,phi,7/29/2016,163,201601532,2,atl,7:36 PM,Nic Lentz,Turner Field,"84 degrees, partly cloudy","11 mph, Out to RF",0
29442,1,pit,7/29/2016,165,201601533,3,mil,7:10 PM,Mike Muchlinski,Miller Park,"70 degrees, overcast","12 mph, L to R",0
40951,1,sea,7/29/2016,188,201601534,12,chn,1:21 PM,Eric Cooper,Wrigley Field,"76 degrees, partly cloudy","10 mph, Varies",74
27414,11,sln,7/29/2016,183,201601535,6,mia,7:12 PM,John Hirschbeck,Marlins Park,"78 degrees, roof closed","0 mph, None",0
41959,4,was,7/29/2016,195,201601536,1,sfn,7:15 PM,Marvin Hudson,AT&T Park,"61 degrees, clear","12 mph, Out to CF",0
49540,4,ari,7/30/2016,204,201601537,2,lan,6:10 PM,Bill Miller,Dodger Stadium,"82 degrees, clear","6 mph, Out to RF",0
47305,1,bal,7/30/2016,172,201601538,9,tor,1:08 PM,Jim Reynolds,Rogers Centre,"73 degrees, cloudy","17 mph, In from RF",0
43150,2,bos,7/30/2016,186,201601539,5,ana,6:07 PM,Joe West,Angel Stadium of Anaheim,"82 degrees, clear","12 mph, Out to CF",0
27914,6,cha,7/30/2016,203,201601540,5,min,6:10 PM,Jim Wolf,Target Field,"80 degrees, partly cloudy","7 mph, R to L",0
31620,1,cin,7/30/2016,164,201601541,2,sdn,5:41 PM,Greg Gibson,Petco Park,"73 degrees, partly cloudy","7 mph, Varies",0
42207,7,col,7/30/2016,189,201601542,2,nyn,7:48 PM,Alan Porter,Citi Field,"76 degrees, cloudy","7 mph, Out to LF",38
34673,2,hou,7/30/2016,169,201601543,3,det,7:10 PM,Adam Hamari,Comerica Park,"76 degrees, partly cloudy","6 mph, L to R",0
47125,1,kca,7/30/2016,161,201601544,2,tex,7:40 PM,Chris Conroy,Globe Life Park in Arlington,"95 degrees, clear","11 mph, In from CF",0
25883,3,nya,7/30/2016,167,201601545,6,tba,6:09 PM,Cory Blaser,Tropicana Field,"72 degrees, dome","0 mph, None",0
32850,3,oak,7/30/2016,159,201601546,6,cle,7:37 PM,Tripp Gibson III,Progressive Field,"76 degrees, partly cloudy","1 mph, R to L",27
38236,9,phi,7/30/2016,220,201601547,5,atl,7:11 PM,David Rackley,Turner Field,"81 degrees, cloudy","9 mph, Out to RF",0
